node,degree,deg_centrality,betweenness,closeness,eigenvector,clustering,community
360ONE,28,0.2616822429906542,7.52224933236539e-05,0.5599857781389679,,0.9708994708994709,4
3MINDIA,11,0.102803738317757,6.305748162381122e-06,0.5075733161456655,,0.9636363636363636,3
AARTIIND,91,0.8504672897196262,0.03138722467607824,0.8658603628367234,,0.5721611721611721,2
AAVAS,12,0.11214953271028036,8.392903164548376e-05,0.5026213813540005,,0.8787878787878788,3
ABB,70,0.6542056074766355,0.006260921817303507,0.735981308411215,,0.7445134575569358,4
ABBOTINDIA,10,0.09345794392523364,7.643359317394499e-05,0.48832883022545065,,0.8444444444444444,2
ABCAPITAL,89,0.8317757009345794,0.02578843395072017,0.8515486213022322,,0.5901430030643514,3
ABFRL,3,0.02803738317757009,0.0,0.47482665058788065,,1.0,3
ABREL,75,0.7009345794392523,0.007325435834341634,0.7632398753894081,,0.7308108108108108,4
ABSLAMC,79,0.7383177570093458,0.009144598272933912,0.7865449097524435,,0.6897111327491074,4
ACC,78,0.7289719626168224,0.009978074317849143,0.7805862361937128,,0.704961704961705,5
ACE,67,0.6261682242990654,0.004368292085573074,0.7155373831775701,,0.777928539122569,4
ADANIENSOL,56,0.5233644859813084,0.0007196462383907261,0.6647573108230328,,0.9045454545454545,5
ADANIENT,59,0.5514018691588785,0.003868555370948008,0.682366776010398,,0.8240794856808884,5
ADANIGREEN,45,0.4205607476635514,0.00018203534494610422,0.6133177570093458,,0.9565656565656566,5
ADANIPORTS,73,0.6822429906542056,0.006746106946801914,0.7520976874275189,,0.7549467275494672,5
ADANIPOWER,51,0.47663551401869153,0.000547253876323603,0.6360332294911734,,0.9113725490196078,5
AFFLE,74,0.6915887850467289,0.009798472919495368,0.7520976874275189,,0.7082562014068864,4
AIAENG,10,0.09345794392523364,0.0,0.4953720345075485,,1.0,4
AJANTPHARM,6,0.05607476635514018,3.4537218559125684e-05,0.47702492211838005,,0.8,2
AKZOINDIA,19,0.17757009345794392,0.00015636341714565035,0.5311205318431448,,0.8654970760233918,2
ALKEM,18,0.16822429906542055,0.0009233945110428717,0.5230324019165995,,0.7647058823529411,2
ALKYLAMINE,56,0.5233644859813084,0.001931646783577378,0.6647573108230328,,0.8532467532467533,4
ALOKINDS,56,0.5233644859813084,0.0026527968469417227,0.6647573108230328,,0.8298701298701299,4
AMBER,39,0.3644859813084112,0.00013470119909345782,0.5990545533579656,,0.9635627530364372,4
AMBUJACEM,73,0.6822429906542056,0.0064087543223351,0.7520976874275189,,0.741248097412481,5
ANANDRATHI,1,0.009345794392523364,0.0,0.4559176246795137,,0.0,3
ANANTRAJ,83,0.7757009345794392,0.017119193659698266,0.8113179777761425,,0.6514839847193653,4
ANGELONE,67,0.6261682242990654,0.007477629687117378,0.7155373831775701,,0.7919493441881501,4
APARINDS,27,0.2523364485981308,0.0003055560803243687,0.5539644256858608,,0.8945868945868946,4
APLAPOLLO,55,0.514018691588785,0.0007665645228613438,0.6604960460100647,,0.9023569023569024,4
APLLTD,28,0.2616822429906542,0.0014815959995071236,0.5539644256858608,,0.7936507936507936,2
APOLLOHOSP,23,0.21495327102803738,0.001504070126312042,0.5394627391495816,,0.6837944664031621,3
APOLLOTYRE,64,0.5981308411214953,0.004014433642967052,0.7057355012162335,,0.7827380952380952,3
APTUS,31,0.2897196261682243,0.000413885967316405,0.5692673103733153,,0.9397849462365592,4
ASAHIINDIA,44,0.411214953271028,0.0005534890988836306,0.6133177570093458,,0.9175475687103594,4
ASHOKLEY,75,0.7009345794392523,0.008312409552494456,0.757627817482133,,0.7037837837837838,3
ASIANPAINT,23,0.21495327102803738,0.011427001177561312,0.5423020167240532,,0.7154150197628458,3
ASTERDM,4,0.037383177570093455,0.0,0.47264854668610135,,1.0,3
ASTRAL,65,0.6074766355140186,0.022321249386105066,0.7106026426039317,,0.7600961538461538,3
ASTRAZEN,0,0.0,0.0,0.0,,0.0,0
ATGL,42,0.3925233644859813,0.0020499635805421865,0.6061022539857065,,0.9349593495934959,5
ATUL,67,0.6261682242990654,0.009290925738926452,0.7205411411018887,,0.6965174129353234,2
AUBANK,16,0.14953271028037382,0.0001243382263887416,0.5203908241291418,,0.9083333333333333,3
AUROPHARMA,32,0.29906542056074764,0.001215012177834515,0.572429906542056,,0.8407258064516129,2
AWL,55,0.514018691588785,0.0012932793962413037,0.6647573108230328,,0.8848484848484849,5
AXISBANK,45,0.4205607476635514,0.0007156807400333606,0.6169903184285634,,0.907070707070707,3
BAJAJ-AUTO,36,0.3364485981308411,0.00043751636786002157,0.5887850467289719,,0.9126984126984127,3
BAJAJFINSV,56,0.5233644859813084,0.009085868686178179,0.6690739167374681,,0.7253246753246754,3
BAJAJHLDNG,4,0.037383177570093455,0.0,0.45794392523364486,,1.0,3
BAJFINANCE,38,0.35514018691588783,0.00361547817906055,0.5921688688366097,,0.7823613086770982,3
BALKRISIND,57,0.5327102803738317,0.005391044892482665,0.6734469488730072,,0.7443609022556391,3
BALRAMCHIN,77,0.719626168224299,0.009840602969788958,0.7689356953550007,,0.7136021872863978,4
BANDHANBNK,74,0.6915887850467289,0.0070547205634020225,0.7520976874275189,,0.7308404294705665,3
BANKBARODA,79,0.7383177570093458,0.01102787148964924,0.7805862361937128,,0.6893865628042843,5
BANKINDIA,71,0.6635514018691588,0.0038072379951046174,0.735981308411215,,0.7814889336016096,4
BASF,45,0.4205607476635514,0.0012905469180973972,0.6169903184285634,,0.8606060606060606,2
BATAINDIA,49,0.4579439252336448,0.0011317186161288505,0.6399837464445347,,0.8801020408163265,3
BAYERCROP,16,0.14953271028037382,0.00015851015934314477,0.5126237969033337,,0.8333333333333334,2
BDL,62,0.5794392523364486,0.0027624997902166715,0.6915260615944301,,0.8180856689582232,4
BEL,85,0.794392523364486,0.013908250989254163,0.8177570093457944,,0.6330532212885154,4
BEML,70,0.6542056074766355,0.004502055310814956,0.735981308411215,,0.7747412008281573,4
BERGEPAINT,22,0.205607476635514,0.00011403431218843119,0.5480711871147345,,0.961038961038961,3
BHARATFORG,78,0.7289719626168224,0.008877999946410114,0.7805862361937128,,0.7022977022977023,4
BHEL,84,0.7850467289719626,0.013315293163605203,0.8177570093457944,,0.6437177280550774,4
BLS,67,0.6261682242990654,0.003912943285459954,0.7155373831775701,,0.7914970601537765,4
BSE,47,0.4392523364485981,0.0005101462570386481,0.6244689889549703,,0.9111933395004626,4
DMART,3,0.02803738317757009,0.0002046201732509726,0.3774263120057513,,0.3333333333333333,3
MAHABANK,77,0.719626168224299,0.013078670568311473,0.7689356953550007,,0.7043745727956254,4
ENGINERSIN,77,0.719626168224299,0.008792855157553328,0.7747171667486473,,0.7060833902939166,4
ERIS,22,0.205607476635514,0.001986731096992945,0.5394627391495816,,0.7272727272727273,2
ESCORTS,67,0.6261682242990654,0.009984354381676544,0.7205411411018887,,0.7471732247851651,3
ETERNAL,36,0.3364485981308411,0.0008462054763251051,0.5887850467289719,,0.8523809523809524,4
EXIDEIND,88,0.822429906542056,0.0478465876617358,0.8445687145702466,,0.5882967607105538,3
FACT,60,0.5607476635514018,0.0008248905731547675,0.6778775209050664,,0.8971751412429378,4
FEDERALBNK,57,0.5327102803738317,0.001514726895934631,0.6690739167374681,,0.8703007518796992,4
FINCABLES,54,0.5046728971962616,0.0016527894478836193,0.6562890648252871,,0.8825995807127882,4
FINPIPE,63,0.5887850467289719,0.0024563598891577387,0.6961985349835816,,0.8325652841781874,4
FIVESTAR,16,0.14953271028037382,0.00018927528529224784,0.5177757948621612,,0.9,3
FLUOROCHEM,35,0.32710280373831774,7.012663433137937e-05,0.5756278389808385,,0.9697478991596639,5
FORCEMOT,35,0.32710280373831774,0.00026621320858684594,0.5854396771452846,,0.9563025210084034,4
FORTIS,20,0.18691588785046728,0.00032100382182719624,0.5311205318431448,,0.8368421052631579,4
FSL,56,0.5233644859813084,0.0021079133666054646,0.6647573108230328,,0.8357142857142857,4
GAIL,84,0.7850467289719626,0.01703512788535801,0.8113179777761425,,0.638267355134825,4
GESHIP,65,0.6074766355140186,0.004815551010884869,0.7057355012162335,,0.7581730769230769,4
GICRE,70,0.6542056074766355,0.006674062552327814,0.735981308411215,,0.7312629399585922,4
GILLETTE,4,0.037383177570093455,9.280828592376726e-06,0.4620510456393278,,0.8333333333333334,4
GLAND,1,0.009345794392523364,0.0,0.4365990812608902,,0.0,2
GLAXO,28,0.2616822429906542,0.0016873872117000067,0.5569588279868654,,0.716931216931217,2
GLENMARK,43,0.40186915887850466,0.004014590737023202,0.6096886578554442,,0.7840531561461794,2
GMDCLTD,71,0.6635514018691588,0.004148641369246409,0.7412761379681302,,0.7790744466800805,4
GMRAIRPORT,84,0.7850467289719626,0.014199431017800726,0.8177570093457944,,0.6437177280550774,4
GODFRYPHLP,6,0.05607476635514018,0.0,0.4792436426863725,,1.0,5
GODREJAGRO,55,0.514018691588785,0.002538800442283019,0.6604960460100647,,0.8606060606060606,4
GODREJCP,3,0.02803738317757009,0.00026739718134627025,0.4222843572851233,,0.6666666666666666,3
GODREJIND,10,0.09345794392523364,1.5909779399463754e-05,0.5001814717357771,,0.9333333333333333,3
GODREJPROP,83,0.7757009345794392,0.020812212062236324,0.8113179777761425,,0.6406112253893623,3
GPIL,0,0.0,0.0,0.0,,0.0,1
GRANULES,78,0.7289719626168224,0.03329159480829791,0.7805862361937128,,0.6533466533466533,2
GRAPHITE,74,0.6915887850467289,0.008700758369749248,0.7520976874275189,,0.7371343946686413,4
GRASIM,73,0.6822429906542056,0.010065948392517473,0.7520976874275189,,0.704337899543379,3
GRAVITA,61,0.5700934579439252,0.002527348371785207,0.6869158878504672,,0.83224043715847,4
GRSE,63,0.5887850467289719,0.0035738902418964076,0.6915260615944301,,0.7977470558115719,4
GSPL,18,0.16822429906542055,1.2400132554487841e-05,0.5203908241291418,,0.9803921568627451,4
GUJGASLTD,76,0.7102803738317757,0.009922483291579009,0.7632398753894081,,0.6933333333333334,4
GVT&D,22,0.205607476635514,6.524335352710292e-05,0.5338724516972544,,0.9567099567099567,4
MEDANTA,22,0.205607476635514,0.0003486031917613971,0.5394627391495816,,0.8614718614718615,4
NYKAA,22,0.205607476635514,0.009967001738430284,0.5480711871147345,,0.8398268398268398,4
