Date,360ONE,3MINDIA,AADHARHFC,AARTIIND,AAVAS,ABB,ABBOTINDIA,ABCAPITAL,ABFRL,ABLBL,ABREL,ABSLAMC,ACC,ACE,ACMESOLAR,ADANIENSOL,ADANIENT,ADANIGREEN,ADANIPORTS,ADANIPOWER,AEGISLOG,AEGISVOPAK,AFCONS,AFFLE,AIAENG,AIIL,AJANTPHARM,AKUMS,AKZOINDIA,ALKEM,ALKYLAMINE,ALOKINDS,AMBER,AMBUJACEM,ANANDRATHI,ANANTRAJ,ANGELONE,APARINDS,APLAPOLLO,APLLTD,APOLLOHOSP,APOLLOTYRE,APTUS,ARE&M,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ASTERDM,ASTRAL,ASTRAZEN,ATGL,ATHERENERG,ATUL,AUBANK,AUROPHARMA,AWL,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHFL,BAJAJHLDNG,BAJFINANCE,BALKRISIND,BALRAMCHIN,BANDHANBNK,BANKBARODA,BANKINDIA,BASF,BATAINDIA,BAYERCROP,BDL,BEL,BEML,BERGEPAINT,BHARATFORG,BHEL,BLS,BSE,DMART,MAHABANK,ENGINERSIN,ERIS,ESCORTS,ETERNAL,EXIDEIND,FACT,FEDERALBNK,FINCABLES,FINPIPE,FIVESTAR,FLUOROCHEM,FORCEMOT,FORTIS,FSL,GAIL,GESHIP,GICRE,GILLETTE,GLAND,GLAXO,GLENMARK,GMDCLTD,GMRAIRPORT,GODFRYPHLP,GODIGIT,GODREJAGRO,GODREJCP,GODREJIND,GODREJPROP,GPIL,GRANULES,GRAPHITE,GRASIM,GRAVITA,GRSE,GSPL,GUJGASLTD,GVT&D,MEDANTA,NYKAA
2023-01-02,420.0113525390625,20702.53125,,605.1851196289062,1808.199951171875,2637.91796875,20555.18359375,155.39999389648438,286.79998779296875,,720.9775390625,424.3192138671875,2410.714599609375,305.3221435546875,,,3835.77294921875,1888.699951171875,809.3815307617188,59.630001068115234,,,,1072.050048828125,2551.6650390625,,1165.9166259765625,,1962.6337890625,2907.967041015625,2627.15283203125,15.75,1879.300048828125,519.970703125,344.3604431152344,107.73886108398438,1250.2353515625,1782.6619873046875,1094.9569091796875,550.2947387695312,4417.4384765625,317.68414306640625,292.80755615234375,,516.6026000976562,69.23406982421875,2960.424560546875,174.31613159179688,1463.8272705078125,3308.034423828125,3546.974853515625,,8125.17578125,654.29296875,428.56561279296875,603.9500122070312,939.112060546875,3354.876953125,1549.94873046875,,5427.88330078125,645.3599853515625,2091.78369140625,391.48065185546875,234.6162109375,170.0852813720703,84.0331039428711,2779.12548828125,1604.623779296875,4647.02783203125,463.0484619140625,96.77273559570312,745.9597778320312,472.6611022949219,866.9771118164062,79.59465789794922,170.79678344726562,181.13961791992188,4072.75,27.78365707397461,74.63799285888672,660.8978271484375,2106.068115234375,60.29999923706055,178.34576416015625,353.53338623046875,135.0497283935547,539.8191528320312,182.4362030029297,603.2591552734375,3114.139404296875,1457.2745361328125,280.1848449707031,97.52220916748047,86.47456359863281,610.4058227539062,172.56619262695312,4785.361328125,1545.4083251953125,1249.05859375,424.7996826171875,141.220703125,40.75,641.4823608398438,,453.5365905761719,865.1823120117188,435.04998779296875,1236.3499755859375,391.3308410644531,316.9200439453125,365.1835021972656,1702.2637939453125,442.665283203125,465.2967834472656,257.8564758300781,472.7289123535156,116.39774322509766,459.9344482421875,155.14999389648438
2023-01-03,418.0799865722656,20795.234375,,611.1298828125,1798.050048828125,2647.2197265625,20789.1015625,154.35000610351562,285.54998779296875,,720.5808715820312,425.4806823730469,2413.629638671875,309.30224609375,,,3825.537353515625,1892.949951171875,807.5606079101562,58.95000076293945,,,,1072.050048828125,2566.8671875,,1158.8695068359375,,1980.0845947265625,2934.75830078125,2651.9765625,15.800000190734863,1872.5999755859375,524.365478515625,344.8990173339844,108.53435516357422,1249.2860107421875,1747.87255859375,1077.240478515625,554.8410034179688,4453.685546875,314.9258728027344,295.07659912109375,,512.5883178710938,68.65188598632812,2941.965576171875,177.12278747558594,1496.972412109375,3316.886474609375,3594.9755859375,,8091.517578125,648.367431640625,434.972412109375,600.2999877929688,959.7574462890625,3380.92578125,1560.4315185546875,,5479.5283203125,650.5297241210938,2093.356689453125,394.57012939453125,235.00701904296875,171.226806640625,86.05357360839844,2751.685302734375,1597.151611328125,4602.5615234375,462.6809387207031,96.86927032470703,747.7526245117188,474.0939025878906,861.8775024414062,79.79327392578125,169.95443725585938,184.21778869628906,4060.89990234375,29.147829055786133,74.91858673095703,657.5169677734375,2131.845458984375,58.95000076293945,177.85418701171875,335.8916015625,135.09877014160156,548.92138671875,182.92051696777344,625.3326416015625,3093.583984375,1488.4462890625,281.8244934082031,98.04120635986328,86.65360260009766,597.3646240234375,180.37669372558594,4794.25146484375,1545.2611083984375,1237.24462890625,431.7522277832031,139.29373168945312,40.79999923706055,638.9411010742188,,454.2060241699219,864.4561157226562,438.1000061035156,1243.0999755859375,403.82061767578125,323.0555725097656,362.0743713378906,1688.2528076171875,442.96087646484375,477.0660095214844,259.86236572265625,473.1629333496094,116.14849853515625,458.73486328125,153.5
2023-01-04,418.9750061035156,21226.888671875,,602.3118286132812,1761.6500244140625,2662.77197265625,21035.005859375,148.25,279.95001220703125,,707.78955078125,425.2948913574219,2380.627197265625,315.8196105957031,,,3821.642822265625,1860.5,797.2747192382812,57.31999969482422,,,,1043.6500244140625,2549.592041015625,,1140.817138671875,,1953.4886474609375,2931.027587890625,2658.786865234375,15.649999618530273,1860.25,512.41552734375,350.6282043457031,110.67223358154297,1265.381591796875,1734.4844970703125,1123.5604248046875,554.0671997070312,4396.5625,309.748046875,288.0762939453125,,512.7369384765625,67.90667724609375,2930.890625,174.80918884277344,1502.6021728515625,3313.52392578125,3473.75,,7898.4267578125,638.9563598632812,434.8738708496094,584.3499755859375,954.9202880859375,3335.070068359375,1545.3062744140625,,5535.33447265625,647.0586547851562,2086.67236328125,379.3189392089844,234.5673828125,166.84339904785156,86.46685028076172,2756.688232421875,1590.1646728515625,4549.40966796875,460.8922119140625,95.32475280761719,741.4161376953125,469.6726989746094,844.1271362304688,78.65123748779297,168.86434936523438,179.4132537841797,3924.199951171875,28.602161407470703,73.79620361328125,646.4796752929688,2110.692138671875,56.349998474121094,176.1828155517578,352.6861877441406,133.77474975585938,533.7999877929688,181.37074279785156,625.3825073242188,3024.03515625,1470.6268310546875,281.4767150878906,96.43705749511719,85.40034484863281,599.666015625,184.74139404296875,4807.68310546875,1557.22509765625,1235.4415283203125,425.54461669921875,134.93505859375,39.900001525878906,614.903076171875,,451.1455078125,860.5344848632812,430.79998779296875,1213.0,393.05865478515625,319.7404479980469,359.4363098144531,1661.9512939453125,437.4916076660156,467.8153076171875,257.33111572265625,460.5285339355469,113.40679168701172,455.3860778808594,153.5
2023-01-05,421.56585693359375,21551.880859375,,600.8255615234375,1731.6500244140625,2761.9912109375,21195.94921875,149.60000610351562,279.6499938964844,,712.9456787109375,417.90771484375,2411.159423828125,315.8694152832031,,,3824.38916015625,1860.0,806.7239379882812,57.75,,,,1037.0,2561.980712890625,,1150.0364990234375,,1969.21630859375,2948.56640625,2672.1611328125,15.449999809265137,1925.3499755859375,518.2423706054688,359.36883544921875,112.76038360595703,1245.3924560546875,1800.2520751953125,1112.3763427734375,549.5208740234375,4392.34814453125,327.36224365234375,292.5178527832031,,504.9562072753906,69.14092254638672,2918.7470703125,174.657470703125,1498.8365478515625,3321.781982421875,3629.990234375,,7859.81787109375,633.4790649414062,437.53515625,573.9500122070312,947.0410766601562,3399.18359375,1466.4361572265625,,5505.76220703125,600.6832885742188,2140.09765625,381.67279052734375,234.95816040039062,168.0762176513672,86.51277160644531,2765.207275390625,1586.7196044921875,4559.61279296875,460.25518798828125,96.48313903808594,729.283447265625,469.1405029296875,862.7111206054688,81.38218688964844,168.7156982421875,178.27317810058594,3857.800048828125,28.28385353088379,79.31455993652344,646.131591796875,2133.46875,56.20000076293945,177.5592498779297,370.2781066894531,134.0689697265625,538.693603515625,178.27122497558594,647.4559936523438,2987.863525390625,1494.7005615234375,285.3025817871094,96.53143310546875,87.14595031738281,586.21875,179.45782470703125,4797.88427734375,1553.4495849609375,1235.726318359375,431.4046325683594,135.80679321289062,40.400001525878906,625.004150390625,,452.1019287109375,887.4534301757812,430.1000061035156,1212.550048828125,395.82318115234375,322.7586669921875,355.43206787109375,1669.8172607421875,426.4545593261719,473.2882385253906,263.63543701171875,472.6324768066406,112.60920715332031,470.5306396484375,154.0500030517578
2023-01-06,418.1153869628906,21461.775390625,,593.5430908203125,1746.800048828125,2799.001708984375,21409.681640625,145.3000030517578,277.54998779296875,,703.773681640625,416.839111328125,2387.197998046875,310.7450256347656,,,3818.846923828125,1838.25,793.4359741210938,56.68000030517578,,,,1055.300048828125,2478.072265625,,1146.078369140625,,1953.665283203125,2937.2294921875,2683.166259765625,15.399999618530273,1904.449951171875,513.353759765625,363.1637878417969,115.8428955078125,1216.1451416015625,1798.7374267578125,1108.1204833984375,542.9432373046875,4351.09326171875,317.2002258300781,291.407470703125,,500.24810791015625,68.81489562988281,2893.536376953125,172.6472930908203,1536.269287109375,3316.24365234375,3551.769775390625,,7750.427734375,623.2215576171875,435.711669921875,568.3499755859375,937.4166870117188,3418.990234375,1427.99951171875,,5498.64599609375,588.9010620117188,2173.764404296875,377.25927734375,236.76553344726562,167.34567260742188,85.823974609375,2717.360595703125,1576.77294921875,4492.1767578125,459.2260437011719,95.51782989501953,729.9220581054688,465.374267578125,852.7081298828125,81.18357849121094,168.31930541992188,176.5467987060547,3842.5,27.920074462890625,78.47278594970703,643.49658203125,2129.97607421875,55.25,175.3962860107422,351.78912353515625,132.0093994140625,531.4021606445312,172.99234008789062,635.0490112304688,2924.501220703125,1491.623046875,283.0666809082031,95.5406265258789,87.05644226074219,584.729736328125,166.08807373046875,4776.47021484375,1534.8663330078125,1234.3978271484375,420.131591796875,136.58676147460938,40.150001525878906,638.4776000976562,,446.26776123046875,888.373291015625,451.29998779296875,1199.8499755859375,384.8144226074219,316.2768249511719,355.7147216796875,1652.4141845703125,424.97637939453125,462.0032958984375,263.2055969238281,463.95233154296875,117.24517059326172,457.13543701171875,153.25
2023-01-09,419.46966552734375,21911.9609375,,594.533935546875,1781.3499755859375,2817.211181640625,21347.400390625,146.60000610351562,273.70001220703125,,698.8157958984375,418.7904968261719,2435.318115234375,316.1678771972656,,,3849.85302734375,1891.449951171875,803.8202514648438,57.540000915527344,,,,1045.550048828125,2505.3173828125,,1141.155029296875,,1917.08447265625,2955.203125,2648.275146484375,15.300000190734863,1887.449951171875,518.2423706054688,369.4070739746094,115.04740142822266,1220.1334228515625,1773.9647216796875,1101.439697265625,542.9432373046875,4371.17529296875,316.6679382324219,295.5110778808594,,504.26239013671875,70.49160766601562,2899.1220703125,171.0543212890625,1560.5035400390625,3341.46337890625,3625.294921875,,7692.712890625,630.591064453125,435.2188415527344,585.5499877929688,956.2168579101562,3398.80810546875,1411.6763916015625,,5652.12744140625,590.1763916015625,2173.4208984375,378.6814270019531,241.5526123046875,169.08074951171875,87.47708892822266,2722.016357421875,1587.0108642578125,4479.1259765625,459.4955749511719,96.53141021728516,740.48291015625,465.5789489746094,865.4080200195312,80.88565063476562,175.4544219970703,175.3090057373047,3879.550048828125,28.23838233947754,77.9583511352539,643.5463256835938,2173.70947265625,56.0,177.75587463378906,339.4299011230469,133.0391845703125,528.2212524414062,173.18606567382812,630.7638549804688,2882.24267578125,1532.870849609375,285.45166015625,97.9940185546875,88.13065338134766,583.5563354492188,171.23382568359375,4759.50244140625,1529.3255615234375,1231.693359375,423.35955810546875,136.77027893066406,40.650001525878906,680.1126098632812,,449.997802734375,879.319580078125,454.0,1216.8499755859375,392.713134765625,323.94622802734375,356.1387023925781,1645.5316162109375,427.242919921875,463.6015930175781,266.9308776855469,466.7010803222656,117.39472198486328,456.9355163574219,152.9499969482422
2023-01-10,421.20074462890625,21721.451171875,,591.6110229492188,1826.1500244140625,2797.08203125,21149.109375,143.39999389648438,268.6499938964844,,694.4031982421875,424.551513671875,2390.162109375,311.3918151855469,,,3641.74755859375,1895.199951171875,783.888427734375,55.84000015258789,,,,1024.199951171875,2483.748291015625,,1126.8194580078125,,1901.3568115234375,2983.88427734375,2692.839111328125,15.149999618530273,1901.3499755859375,508.0700988769531,365.31829833984375,111.21912384033203,1218.5665283203125,1775.576904296875,1093.7197265625,539.9447021484375,4429.63623046875,315.4097595214844,294.3524475097656,,509.6147766113281,70.74775695800781,2876.00048828125,171.88873291015625,1556.40234375,3328.556640625,3652.666748046875,,7620.248046875,622.6239624023438,443.5476989746094,571.4500122070312,949.63427734375,3355.111572265625,1410.9776611328125,,5672.166015625,581.3926391601562,2152.28662109375,379.466064453125,240.38026428222656,165.0169677734375,84.35454559326172,2724.146240234375,1576.821533203125,4460.76025390625,449.08203125,95.71089172363281,740.3109741210938,464.105224609375,866.1925659179688,79.29674530029297,170.00399780273438,175.0972900390625,3877.39990234375,27.0106258392334,77.9583511352539,642.1541748046875,2142.126953125,54.70000076293945,177.95249938964844,342.3702087402344,132.64688110351562,519.0211791992188,169.45693969726562,591.5497436523438,2880.74609375,1510.4847412109375,286.6441345214844,97.7109375,87.81734466552734,595.333984375,165.30702209472656,4747.8408203125,1517.5577392578125,1238.62060546875,427.63037109375,142.5971221923828,40.29999923706055,672.201171875,,440.0031433105469,882.7571411132812,452.6000061035156,1212.25,396.6624450683594,326.0244140625,354.1130676269531,1623.310546875,412.2640380859375,453.9634094238281,270.13079833984375,462.8432312011719,118.19230651855469,457.13543701171875,150.5
2023-01-11,414.13494873046875,21342.83984375,,586.50830078125,1855.3499755859375,2854.7138671875,21297.4453125,147.0,266.8999938964844,,691.8251342773438,425.7594299316406,2366.44775390625,308.2574462890625,,,3630.6630859375,1877.1500244140625,783.9375610351562,55.2400016784668,,,,1023.6500244140625,2500.57958984375,,1128.122802734375,,1878.2950439453125,2949.922607421875,2695.65234375,15.25,1876.300048828125,501.79888916015625,362.9433898925781,111.71630859375,1218.3291015625,1782.12451171875,1107.4771728515625,538.0584716796875,4324.4658203125,308.9254455566406,288.12457275390625,,501.685302734375,69.60667419433594,2856.618896484375,170.78883361816406,1539.4757080078125,3325.243408203125,3612.8076171875,,7638.26513671875,619.4869384765625,441.1328125,580.2000122070312,947.2406005859375,3321.177490234375,1397.3997802734375,,5590.80322265625,580.5655517578125,2154.49853515625,383.0458984375,238.81712341308594,165.5192413330078,87.10973358154297,2728.703369140625,1588.95166015625,4446.19140625,454.3255310058594,96.72445678710938,738.7391357421875,459.56121826171875,849.1285400390625,80.43876647949219,169.4093780517578,174.65756225585938,3872.89990234375,27.920074462890625,78.09866333007812,637.9281616210938,2097.459228515625,54.349998474121094,179.91885375976562,338.9814147949219,132.0584259033203,524.8446044921875,167.7618865966797,599.9705810546875,2829.407470703125,1502.8408203125,281.7747802734375,97.38066864013672,87.1011962890625,584.5039672851562,167.87989807128906,4758.1162109375,1561.2947998046875,1234.11328125,421.8697204589844,142.8265380859375,40.400001525878906,652.5423583984375,,442.58551025390625,871.9605102539062,445.25,1223.949951171875,400.3155822753906,327.9046325683594,354.06591796875,1607.6280517578125,415.22039794921875,451.396484375,263.06231689453125,454.5007019042969,122.52919006347656,454.0365905761719,155.10000610351562
2023-01-12,423.8268737792969,21501.24609375,,586.9542846679688,1828.550048828125,2868.44482421875,21250.98828125,146.3000030517578,266.04998779296875,,713.292724609375,423.43646240234375,2336.26123046875,314.4266052246094,,,3642.046875,1889.8499755859375,780.4926147460938,54.72999954223633,,,,1035.550048828125,2496.926513671875,,1148.3953857421875,,1908.9556884765625,2966.24951171875,2715.047119140625,15.199999809265137,1875.050048828125,504.0703125,369.4804382324219,110.82138061523438,1218.091796875,1756.2767333984375,1116.6817626953125,539.1708374023438,4323.623046875,306.7962646484375,288.1728210449219,,504.9066467285156,68.3724365234375,2832.865478515625,169.99237060546875,1538.8790283203125,3416.5302734375,3645.324462890625,,7598.17236328125,625.5618896484375,439.95001220703125,571.4000244140625,933.078125,3351.45068359375,1385.51953125,,5679.1357421875,580.8264770507812,2176.565673828125,379.51507568359375,233.73695373535156,165.93016052246094,87.10973358154297,2723.601318359375,1588.17529296875,4411.1669921875,460.4756774902344,95.95221710205078,737.5111083984375,460.0933532714844,856.4837036132812,79.44569396972656,169.16165161132812,173.45233154296875,3911.800048828125,28.465742111206055,78.19218444824219,635.7903442382812,2075.519287109375,53.75,179.57470703125,332.1040954589844,132.4507293701172,528.3680419921875,165.7278289794922,583.8764038085938,2838.936767578125,1524.4822998046875,281.2282409667969,97.61656951904297,86.65360260009766,579.8561401367188,172.6121368408203,4711.41845703125,1469.4078369140625,1249.770263671875,419.0390625,140.99130249023438,40.400001525878906,664.1298828125,,442.4420166015625,886.146240234375,448.75,1237.550048828125,393.99664306640625,314.7428894042969,351.0981140136719,1614.8548583984375,416.8464050292969,463.8922424316406,265.7846374511719,450.2088317871094,120.33582305908203,448.83843994140625,149.8000030517578
2023-01-13,419.98779296875,21560.158203125,,576.2039794921875,1817.75,2854.4677734375,21365.71484375,148.9499969482422,268.6000061035156,,709.0785522460938,424.5050354003906,2339.028076171875,317.660400390625,,,3715.892578125,1915.6500244140625,782.1659545898438,55.7400016784668,,,,1025.6500244140625,2492.632568359375,,1137.004150390625,,1966.1678466796875,2931.31884765625,2667.76904296875,15.199999809265137,1869.050048828125,512.218017578125,378.3924865722656,114.05304718017578,1239.315185546875,1661.7298583984375,1123.362548828125,537.0428466796875,4299.62255859375,310.47393798828125,287.3038024902344,,511.69622802734375,68.48887634277344,2826.25927734375,168.3614501953125,1526.761962890625,3452.234375,3711.306884765625,,7621.5849609375,617.1964721679688,428.91058349609375,573.2999877929688,931.6818237304688,3384.30517578125,1388.8638916015625,,5757.44873046875,588.6451416015625,2195.390380859375,386.57672119140625,232.51576232910156,168.85243225097656,88.53324127197266,2730.981689453125,1532.182373046875,4439.97412109375,453.1983947753906,96.48313903808594,749.889404296875,460.25714111328125,856.5818481445312,80.1408462524414,167.67515563964844,174.07122802734375,3863.699951171875,28.829524993896484,77.86483001708984,638.7236328125,2083.783447265625,53.25,179.96800231933594,320.2431945800781,135.78529357910156,540.8468017578125,166.74484252929688,586.0189208984375,2787.149169921875,1540.167236328125,285.8491516113281,98.4658203125,86.0269775390625,561.5805053710938,171.8770294189453,4764.32958984375,1426.5533447265625,1238.0511474609375,417.3008728027344,144.8452911376953,41.099998474121094,652.11083984375,,441.6290588378906,888.1312255859375,446.20001220703125,1243.75,401.10546875,315.039794921875,355.196533203125,1627.341796875,436.7525329589844,473.4819641113281,257.8086853027344,434.2952880859375,118.64094543457031,452.3371887207031,147.60000610351562
